wk_strt_dt,yr_nbr,qtr_nbr,prd,wk_nbr,wk_in_yr_nbr,spend_direct_mail,spend_insert,spend_newspaper,spend_audio,spend_radio,spend_tv,spend_video,spend_social_media,spend_online,spend_SEM,sales,CPI,gas_dpg,store_count,markdown_1,markdown_2
2015-02-22,2015,1,1,4,4,611879.65,57029.96,188114.2,1732.45,59691.7,36742.23,15447.64,29015.79,48259.57,376657.26,111100800.2,95.4,2.415,705,0.339161643,0.33769582
2015-03-01,2015,1,2,1,5,854607.36,63831.51,409654.69,2662.88,81525.47,158491.68,23496.23,62219.89,102810.14,389381.22,64745052.95,93,2.556,705,0.322893657,0.326863317
2015-03-08,2015,1,2,2,6,852235.82,65880.55,733537.22,1617.19,100515.72,138813.41,25953.71,36663.57,133051.04,238865.85,70774138.17,93,2.57,705,0.343668843,0.324546998
2015-03-15,2015,1,2,3,7,1133977.27,76448.15,256927.87,2170.91,216230.11,47919.75,11556.62,36663.57,247919.37,429769.98,130727968.6,93,2.537,705,0.321000386,0.331526858
2015-03-22,2015,1,2,4,8,1499565.65,111581.11,448748.58,4373.63,269925.33,177859.05,4482.7,61587.93,138066.62,456764.82,71633710.77,93,2.538,705,0.323765257,0.326537918
2015-03-29,2015,1,2,5,9,371120.61,56460.64,738883.87,2840.23,104705.22,137914.11,12457.79,36164.83,221699.28,290201.72,88922739.21,93,2.531,705,0.453423557,0.347402466
2015-04-05,2015,1,3,1,10,37609.88,92636.41,517676.06,2110.24,140855.93,130098.82,8019.01,53395.3,186820.25,493406.19,65777933.97,95.9,2.499,705,0.367235129,0.344914337
2015-04-12,2015,1,3,2,11,399804.51,128377.13,322266.59,1285.05,58268,115468.15,2828.46,25002,113476.08,436767.32,75016497.36,95.9,2.494,705,0.338280809,0.335648728
2015-04-19,2015,1,3,3,12,1835973.8,33971.91,253911.61,2421.73,79412.8,39666.81,0,25002,79661.16,398029.2,96438356.01,95.9,2.57,705,0.31293278,0.324200012
2015-04-26,2015,1,3,4,13,1281034.44,76331.89,422071.17,1698.7,148675.87,347878.27,10671.78,42860.57,144569.57,548793.02,190030036.3,95.9,2.656,704.1428571,0.384385741,0.338203882
2015-05-03,2015,2,4,1,14,2004768.73,126961.41,796207.11,5366.97,296678.46,552419.57,3568.04,25070.07,183944.57,517270.05,106526801.2,90.7,2.749,702,0.373415049,0.334171007
2015-05-10,2015,2,4,2,15,749867.46,44459.91,534880.08,1191.73,3115.01,125853.64,6945.9,50528.77,179219.39,233456.88,72085109.62,90.7,2.776,702,0.320172382,0.321659762
2015-05-17,2015,2,4,3,16,44798.89,145240.86,202411.2,2934.98,127821.61,130434.64,9184.52,42956.02,250386.35,276756.36,74421903.03,90.7,2.827,702,0.333381393,0.333283635
2015-05-24,2015,2,4,4,17,609995.48,129235.37,101190.22,2083.93,169739.66,112353.17,4164.48,30183.94,191737.04,276880.6,132061381.4,90.7,2.857,702,0.33845728,0.335418515
2015-05-31,2015,2,5,1,18,1670556.37,56594.13,193328.57,4891.12,125870.48,36844.51,2564.35,34471.97,107506.03,401330.43,77690596.12,96.1,2.863,702,0.337030516,0.331867949
2015-06-07,2015,2,5,2,19,181565.27,35600.04,310401.44,1828.14,63921.46,89791.11,1391.14,54558.97,198010.97,232587.7,119823111.9,96.1,2.863,702,0.34191105,0.328535855
2015-06-14,2015,2,5,3,20,1691872.92,104443.67,420786.19,4709.75,166127.44,445654.4,2696.43,37309,183171.06,234637.12,96665486.19,96.1,2.918,702,0.387162457,0.330921206
2015-06-21,2015,2,5,4,21,364677.8,25456.33,439090.59,4691.41,213311.08,65555.2,3647.54,41117.21,75357.48,248228.77,63296503.58,96.1,2.895,702,0.335955321,0.333059585
2015-06-28,2015,2,5,5,22,394206.58,95330.99,172690.98,1515.97,97349.82,220183.82,8042.32,40889.95,102504.04,492778.15,122461146.1,96.1,2.885,702,0.389080641,0.347866643
2015-07-05,2015,2,6,1,23,307507.49,31479.81,485900.45,1163.04,213310.51,122164.27,3745.66,17799.48,40324.23,346908.34,69612354.65,93.1,2.877,702,0.330469219,0.332559458
2015-07-12,2015,2,6,2,24,2126076.39,47193.66,300446.44,447.47,600.78,57915.55,2416.12,38312.43,41422.39,332692.7,61722756.59,93.1,2.92,702,0.367239374,0.335798815
2015-07-19,2015,2,6,3,25,644679.25,81811.41,260724.1,447.47,0,45487.51,7627.03,22444.36,79214.87,359531.24,60584934.46,93.1,2.888,702,0.375517503,0.337016076
2015-07-26,2015,2,6,4,26,1031829.76,81055.5,316702.52,634.19,63711.83,28445.96,2206.71,61788.22,96888.96,203941.78,96275840.29,93.1,2.833,702,0.379183292,0.343931877
2015-08-02,2015,3,7,1,27,443777.53,96330.79,376926.47,1919.75,66008.57,72808.45,10462,15138.28,100676.48,422691.9,119468400.6,91.9,2.779,701,0.367625587,0.346592861
2015-08-09,2015,3,7,2,28,416160.76,77698.33,459923.73,3942.06,96550.71,114713.91,10588.33,15138.28,129329.71,482111.74,134756598.4,91.9,2.72,701,0.361556312,0.339956288
2015-08-16,2015,3,7,3,29,1474306.52,106188.92,247435.73,2097.17,132930.04,57893.16,10309.24,15138.28,61538.94,350792.5,60062515.45,91.9,2.803,701,0.328747667,0.330952421
2015-08-23,2015,3,7,4,30,527024.17,104125.45,181933.38,1800.33,70754.33,49519.84,21659.02,25951.34,137532.34,565924.44,115402404.9,91.9,2.726,701,0.326658227,0.333767123
2015-08-30,2015,3,8,1,31,673751.13,138373.84,121351.78,2083.53,155625.84,149631.97,14295.41,21498.85,186763.14,353038.61,69709932.62,87.2,2.602,700.1428571,0.342464708,0.341995156
2015-09-06,2015,3,8,2,32,1448011.1,154866.35,677627.88,3406.89,233850.55,297784.55,12318.68,32107.14,235416.66,319188.04,78474301.75,87.2,2.532,699.2857143,0.355485211,0.343277936
2015-09-13,2015,3,8,3,33,714537.48,31877.37,376522.08,3366.67,110210.79,252803.74,16795.98,44062.99,240449.22,259679.17,112460364.6,87.2,2.471,699,0.329585205,0.338464176
2015-09-20,2015,3,8,4,34,1897878.96,31301.49,210309.57,1393.5,215694.02,169441.18,25326.78,24097.95,254665.18,490671.65,107150458.3,87.2,2.425,699,0.337201297,0.337403633
2015-09-27,2015,3,8,5,35,1594548.49,90190.54,200693.89,2709.81,118363.54,115539.39,10200.25,35081.44,224793.47,436150.92,123170786.7,87.2,2.418,699,0.405847309,0.346966523
2015-10-04,2015,3,9,1,36,343567.8,78480.18,445241.11,5348.26,180735.41,223899.32,35169.76,58472.89,140659.93,354711.69,76517878.52,90,2.415,699,0.399067412,0.351587574
2015-10-11,2015,3,9,2,37,52944.7,79698.95,408122.85,4463.31,108876.61,196895.56,32244.5,62860.31,150855.55,650957.46,75542501.16,90,2.432,699,0.391952134,0.332032484
2015-10-18,2015,3,9,3,38,901385.65,63215.49,375883.47,3827.12,81914.55,178526.16,17896.32,53460.31,194449.76,397281.2,78365992.28,90,2.374,699,0.391950864,0.336189118
2015-10-25,2015,3,9,4,39,622406.85,26686.18,304628.15,2492.36,135149.5,5742.31,1788.4,51060.31,90629.35,784813.6,61719457.56,90,2.326,699,0.405225748,0.341801546
2015-11-01,2015,4,10,1,40,831198.5,60939.19,355762.38,5600.28,156315.82,65769.09,11742.29,70799.44,212882.85,886546.61,67286939.96,91.3,2.322,700,0.40307767,0.348379039
2015-11-08,2015,4,10,2,41,822796.09,77650.78,473359.34,3641.34,126195.5,150792.84,12599.57,133577.25,177767.77,1100921.9,132782210.1,91.3,2.335,700,0.396689991,0.346314078
2015-11-15,2015,4,10,3,42,898061.89,72104.47,599763.6,5091.19,255712.74,183583.97,15560.47,156100.75,163817.12,811097.16,95659079.48,91.3,2.281,700,0.465222174,0.354540993
2015-11-22,2015,4,10,4,43,1211105.75,264412.52,488971.65,3787.01,145388.82,593434.8,51543.89,413630.65,426266.91,1372265.47,259620027.4,91.3,2.198,700,0.473424609,0.363386606
2015-11-29,2015,4,11,1,44,17615.04,108879.89,880345.39,4424.23,121465.95,228312.8,31282.27,200107.26,371064.01,3036928.47,271343341.9,92.6,2.165,699.2857143,0.459039172,0.350952346
2015-12-06,2015,4,11,2,45,1286040.13,99368.37,1631997.04,5774.23,177087.25,598284.68,46507.47,135657.9,229607.89,1366792.41,149972976.9,92.6,2.159,699,0.444180017,0.351251659
2015-12-13,2015,4,11,3,46,1500259.96,316186.53,1592941.44,12985.07,435614.54,1100083.38,51508.88,212824.77,409647.23,1206740.48,294528174.3,92.6,2.144,699,0.440798839,0.350170172
2015-12-20,2015,4,11,4,47,1564824.92,273448.38,1942401.06,8414.07,210699.73,467928.46,31746.47,204504.84,197268.34,940937.9,310203159.2,92.6,2.133,699,0.410709498,0.350897092
2015-12-27,2015,4,11,5,48,1524537.4,140230.83,760045.35,7926.64,162479.23,330651.97,18764.8,189148.13,385946.44,390684.05,107308074,92.6,2.141,699,0.42156363,0.35549632
2016-01-03,2015,4,12,1,49,40292.32,35121.48,349083.44,1781.69,86604.61,29391.83,4706.6,31050.84,62548.32,563136.6,103324675.7,92,2.135,699,0.345016994,0.339269743
2016-01-10,2015,4,12,2,50,674091.2,50117.04,670600.6,3749.72,133350.59,77911.96,11893.42,26850.84,105824.95,303724.75,102028158.4,92,2.104,699,0.337668364,0.3410171
2016-01-17,2015,4,12,3,51,826102.15,52157.53,401192.22,465.93,14158.56,31970.91,2745.52,48332.41,100632.82,586479.26,85073744.26,92,2.022,699,0.31946419,0.336824213
2016-01-24,2015,4,12,4,52,713664.74,6537.2,389151.14,1326.97,93355.97,45624.54,22787.32,48664.11,108312.81,629124.69,89894742.56,92,1.965,699,0.374812998,0.339028163
2016-01-31,2016,1,1,1,1,855176.26,85593.49,293687.16,3254.94,131371.09,78792.36,11076.35,41682.57,46813.87,392987.02,117121842.2,91.7,1.932,670.7142857,0.379994706,0.349099659
2016-02-07,2016,1,1,2,2,14523.97,123776.39,226925.63,2595.5,153854.56,221543.97,13093.63,71928.29,125066.07,599271.73,75144838.55,91.7,1.87,666,0.382572141,0.352234898
2016-02-14,2016,1,1,3,3,859345.97,78619.3,152734.62,2105.95,102104.53,111637.9,23984.86,32794.26,125161.21,578474.12,128713899.3,91.7,1.834,666,0.356085129,0.349134109
2016-02-21,2016,1,1,4,4,895779.6,30234.3,90273.07,912.65,51992.25,637.5,2672.65,53171.51,49166.11,347753.64,60278891.63,91.7,1.837,666,0.360694531,0.345287718
2016-02-28,2016,1,2,1,5,664221.46,30864.42,169524.39,1149.26,59080.36,117319.86,12919.29,35010.15,67901.12,332135.83,105280763.2,91,1.887,666,0.338971677,0.345783448
2016-03-06,2016,1,2,2,6,539997.89,26886.6,128557.52,1742.79,89287.27,52496.18,24899.42,66889.62,164108.97,327631.39,73654346.26,91,1.943,666,0.366225565,0.341259268
2016-03-13,2016,1,2,3,7,1203379.72,42651.45,177216.46,1803.28,92602.41,132866.08,14608.69,45194.35,186111.3,318500.57,113440996,91,2.062,666,0.321270439,0.337572247
2016-03-20,2016,1,2,4,8,771055.79,138091.22,257625.1,5037.4,140467.86,174787.45,23148.4,48185.41,256106.6,326868.18,143654952.9,91,2.109,666,0.3432336,0.342287309
2016-03-27,2016,1,2,5,9,515298.67,74644.37,333428.48,1562.77,87405.74,203735.64,27773.64,84822.31,188684.46,639233.61,67122312.16,91,2.169,666,0.444796011,0.352854899
2016-04-03,2016,1,3,1,10,33248.64,76426.96,57403.78,3082.06,100660.4,154940.51,22836.32,62899.01,178406.61,350410.01,110779367.4,89,2.185,666,0.362801206,0.342665942
2016-04-10,2016,1,3,2,11,668008.06,63592.54,238522.75,3254.49,179457.19,186989.53,22751.65,33626.64,191432.67,352443.72,68204099.72,89,2.173,666,0.379668062,0.342363763
2016-04-17,2016,1,3,3,12,1405607.13,42108.75,45974.35,3872.77,65682.11,21026.8,5066.21,39486.13,83276.05,333097.79,99556654.51,89,2.24,666,0.339057601,0.335282836
2016-04-24,2016,1,3,4,13,884510.2,103235.86,119487.21,3253.14,183663.98,189185.21,42619.55,70134.16,281805.76,1029188.95,165602892.7,89,2.265,666,0.387955567,0.344733895
2016-05-01,2016,2,4,1,14,610727.06,106551.47,370121.5,1477.29,151302.63,285824.04,12043.9,157479.95,218474.52,936173.91,174368273.5,94.7,2.342,666,0.392125729,0.343108187
2016-05-08,2016,2,4,2,15,619188.55,44409.03,239094.99,424.91,14476.74,37358.91,11316.3,68736.91,90809.23,529071.88,66646331.64,94.7,2.325,666,0.305798471,0.331543532
2016-05-15,2016,2,4,3,16,869680.29,24506.87,89494.17,830.32,93462.97,87611.37,12133.34,71041.2,96751.37,570225.96,67617395.77,94.7,2.345,666,0.33932706,0.335706419
2016-05-22,2016,2,4,4,17,852681.36,77355.24,66580.69,4205.89,116023.47,231118.11,19085.78,154024.32,128465.64,390653.44,126107351.9,94.7,2.403,666,0.364639553,0.342168629
2016-05-29,2016,2,5,1,18,199935.92,113228.22,230020.87,3212.28,151978.85,149066.02,15418.54,181307.48,228372.45,700650.64,143648301.6,93.5,2.44,666,0.369075914,0.335298246
2016-06-05,2016,2,5,2,19,1185013.81,56830.19,78757.55,1519.26,94834.08,64743.12,4777.13,101870.24,230154.82,450757.16,68397609.52,93.5,2.482,666,0.359026772,0.323238555
2016-06-12,2016,2,5,3,20,648159.69,96239.69,192386.66,1290.66,93982.99,289070.67,8657.06,151361.53,271001.15,302832.01,97823796.06,93.5,2.499,666,0.409497295,0.320977356
2016-06-19,2016,2,5,4,21,902120.46,36827.56,145213.25,870.35,45044.44,103734.98,9514.33,56615.66,181033.27,309246.43,105193697.9,93.5,2.455,666,0.368306478,0.321207845
2016-06-26,2016,2,5,5,22,232204.77,122887.36,98080.9,2655.24,125124.81,220477.36,24161.78,55889.29,183526.61,344055.36,113971716.4,93.5,2.432,666,0.364749206,0.319565906
2016-07-03,2016,2,6,1,23,443815.63,54874.87,163660.23,3810.3,104323.95,204858.38,16767.59,73716.15,129993.71,528415.73,71210800.01,90,2.396,666,0.370798888,0.316414057
2016-07-10,2016,2,6,2,24,571661.59,72642.59,179295.28,1.62,240.02,80911.84,11027.88,131574.69,104305.18,305692.65,66022045.4,90,2.359,666,0.423340372,0.319296449
2016-07-17,2016,2,6,3,25,603827.5,33639.15,205032.92,1.62,240.02,50928.56,5596.5,82994.03,99005.46,266723.19,104938423.3,90,2.336,666,0.378789005,0.315645484
2016-07-24,2016,2,6,4,26,943683.3,38895.42,70239.92,690.42,29001.8,31712.56,1998.86,141695.22,105276.17,278239.6,57017204.54,90,2.289,665.7142857,0.373238912,0.315136605
2016-07-31,2016,3,7,1,27,670909.25,68521.18,288903.67,4781.07,117107.56,225332.22,24169.71,36145.37,209646.52,293616.01,77125173.33,89.8,2.267,665.8571429,0.362093579,0.312433648
2016-08-07,2016,3,7,2,28,151868.09,127497.59,141862.45,2635.51,73230.66,105608.64,13561.62,74160.46,219626.23,593073.38,64000886.49,89.8,2.256,666,0.356808733,0.313305496
2016-08-14,2016,3,7,3,29,464688.65,54198.95,71360.01,4733.63,151341.73,71656.65,7910.94,35890.76,114844.22,485503.95,102923206.8,89.8,2.256,666,0.326416533,0.311052452
2016-08-21,2016,3,7,4,30,984331.81,58450.28,52271.95,1925.28,64767.54,133754.87,28188.01,38741.95,237628.07,602316.44,108513225.5,89.8,2.299,666,0.350605723,0.310602084
2016-08-28,2016,3,8,1,31,724748.75,149618.38,108934.87,3913.15,85270.01,283034.42,25219.45,18034.83,282179.52,384969.2,115056568.2,91.2,2.341,666,0.349823531,0.311897625
2016-09-04,2016,3,8,2,32,764365.96,126800.4,150019.15,2219.16,235586.48,133937.18,29129.07,33498.98,327533.99,414857.75,75518111.47,91.2,2.329,666,0.369534479,0.311861274
2016-09-11,2016,3,8,3,33,592454.74,18272.73,109076.14,2412.83,149704.32,124984.72,6045.4,43443.48,318266.31,348335.87,68229325.69,91.2,2.31,666,0.351188549,0.311954175
2016-09-18,2016,3,8,4,34,2409895.71,47097.8,125286.26,2283.2,69372.99,225935.41,42407.39,25507.12,169059.04,529179.6,62915357.98,91.2,2.333,666,0.34526952,0.310040133
2016-09-25,2016,3,8,5,35,682478.84,50618.94,91954.89,3004.15,126336.4,218553.47,41556.29,24143.12,317086.17,329883.3,80091189.52,91.2,2.334,666,0.40178797,0.312297335
2016-10-02,2016,3,9,1,36,534123.27,66543.96,176858.46,1680.04,67202.89,104187.31,39173.61,54446.19,161783.92,399601.15,68618219.82,87.2,2.354,666,0.388002182,0.311951668
2016-10-09,2016,3,9,2,37,47215.59,78224.04,84466.07,1677.08,73362,98747.49,37100.35,135520.23,323700.52,434219.88,69966642.38,87.2,2.381,665,0.383466639,0.309502821
2016-10-16,2016,3,9,3,38,1312056.51,54778.4,128694.67,1844.36,97071.01,98926.85,11189.24,113743.06,152512.73,684083.01,121312405.1,87.2,2.367,665,0.38895766,0.308796074
2016-10-23,2016,3,9,4,39,402987.61,56047.11,54539.93,1791.58,74023.88,55822.6,16340.84,112340.19,141006.24,484586.59,110198692.9,87.2,2.353,665,0.395245706,0.310260821
2016-10-30,2016,4,10,1,40,640132.7,86783.97,83652.66,6510.16,78879.26,71784.79,21744.06,259463.61,175959.56,521756.19,109784965.9,93.8,2.341,665,0.388684553,0.310525877
2016-11-06,2016,4,10,2,41,1325468.33,101439.84,216329.27,2942.76,159031.12,243147.27,32183.29,275269.3,399241.56,1182797.08,69495018.46,93.8,2.345,665,0.395144467,0.312147399
2016-11-13,2016,4,10,3,42,1366941.5,124240.64,115733.1,3408.55,145433.84,356995.7,67821.64,338496.73,508278.98,1138013.94,174019427.8,93.8,2.298,665,0.459267973,0.312713932
2016-11-20,2016,4,10,4,43,59313.96,419609.64,361914.91,2899.89,139059.45,297054.69,56508.06,573355.55,444669.29,3134565.13,265788168.1,93.8,2.269,665,0.490349439,0.312456866
2016-11-27,2016,4,11,1,44,2355608.33,63230.35,111781.5,3958.38,88746.1,348645.15,46452.99,232823.24,573219.18,2441061.22,151062046.8,98.2,2.268,665,0.479237672,0.315499675
2016-12-04,2016,4,11,2,45,1105873.6,102413.37,213650.51,8808.28,148687.84,407887.51,81714.58,327829.09,528740.65,2852133.42,259719662.8,98.2,2.321,665,0.443482367,0.312369078
2016-12-11,2016,4,11,3,46,906122.25,164451.2,126884.88,7548.02,111669.22,656573.33,104352.44,143930.42,283347.03,1419968.89,154023468,98.2,2.347,665,0.452218527,0.315366041
2016-12-18,2016,4,11,4,47,2028217.51,123762.13,383258.47,9768.67,152060.54,535978.7,37679.55,298601.25,412173.88,749881.58,189536481.1,98.2,2.375,665,0.397151654,0.316896033
2016-12-25,2016,4,11,5,48,216536.92,119702.92,279412.64,10100.42,297860.4,228445.2,18915.88,244872.65,198045.53,502699.22,99669934.27,98.2,2.419,665,0.420018274,0.316693185
2017-01-01,2016,4,12,1,49,212827.47,31615,165686.71,2437.52,105422.49,35981.87,102.29,65304.96,94902.09,420628.98,104023957.6,98.5,2.485,665,0.374215424,0.311261628
2017-01-08,2016,4,12,2,50,1007081.94,40626.16,89072.07,1034.04,36460.48,72210.89,7903.7,63554.96,69863.29,549775.19,96574619.29,98.5,2.496,665,0.365882899,0.309009246
2017-01-15,2016,4,12,3,51,985800.74,47913.78,81406.52,608.26,54133.36,0,4462.5,136631.61,78790.65,371673.24,52057906,98.5,2.467,665,0.369938923,0.311347018
2017-01-22,2016,4,12,4,52,869958.33,4907.5,63944.57,2658.66,45821.71,27014.37,6019.4,137187.29,164161.88,692021.67,84864091.63,98.5,2.436,665,0.340461935,0.310279158
2017-01-29,2017,1,1,1,1,321094.17,70816.51,34731.11,1836.49,56184.09,72855.59,9554.24,85844.85,98321.84,721381.49,100451183.7,96.3,2.408,665,0.390551379,0.312472491
2017-02-05,2017,1,1,2,2,793715.64,67345.18,93142.22,3100.03,187228.53,159550.42,24650.77,53001.49,65595.46,380430.11,66227975.58,96.3,2.405,665,0.375344486,0.314913381
2017-02-12,2017,1,1,3,3,157192.64,146432.88,83437.88,2679.96,149665.62,102169.53,23861.78,51093.86,93605.84,353315.55,109866157.8,96.3,2.418,665,0.358484648,0.316922814
2017-02-19,2017,1,1,4,4,354843.36,104715.05,7833.19,2780.04,135220.5,102781.25,9836.83,83089.04,92512.09,653517.83,109305541.4,96.3,2.414,665,0.33431113,0.313281946
2017-02-26,2017,1,2,1,5,380885.17,26963.29,73577.39,2625.97,68060.55,85245.27,11707.63,65827.95,77863.21,636753.88,64020794.79,96.9,2.427,665,0.312269764,0.313326154
2017-03-05,2017,1,2,2,6,595291.09,35033.42,80075.92,2324,80065.86,146962.03,3868.07,53907.14,227815.82,583264.98,90067292.47,96.9,2.452,665,0.32384543,0.313248506
2017-03-12,2017,1,2,3,7,337251.26,16822.56,31330.42,2594.08,109302.59,71861.31,9609.29,65567.41,264341.8,769217.81,127073880.4,96.9,2.434,665,0.354452681,0.314236784
2017-03-19,2017,1,2,4,8,1474481.78,35924.52,18177.57,4905.79,160122.2,120443.66,25306.58,60383.86,284508.48,461027.02,67672459.41,96.9,2.433,662.7142857,0.359175047,0.315547453
2017-03-26,2017,1,2,5,9,345688.18,105262.19,118178.53,4378.56,71526.49,66199.08,21423.35,93006.99,158879.82,703230.01,124073331.4,96.9,2.428,651.8571429,0.389230207,0.317597305
2017-04-02,2017,1,3,1,10,587199.26,24994.76,117617.59,4874.89,121327.42,198491.68,56138.94,129480.69,281687.62,717622.37,112436155.1,97,2.471,601,0.370754237,0.316074592
2017-04-09,2017,1,3,2,11,67191.78,70981.43,67898.37,5521.59,180033.45,65282.2,16491.06,132336.46,270906.27,630647.79,68505073.43,97,2.534,601,0.355486559,0.317601894
2017-04-16,2017,1,3,3,12,1148043.82,19711.54,7763.45,2848.39,72725.66,30639.02,20255.34,70831.2,242894.34,366495.04,89370191.65,97,2.546,601,0.352624778,0.313364832
2017-04-23,2017,1,3,4,13,660338.72,45647.24,35660.82,1390.93,25088.19,37274.77,19030.86,86829.12,237939.99,510237.91,135435178.3,97,2.559,601,0.339931807,0.313353298
